"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HN09","HN09_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","HX09","HX09_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LN09","LN09_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","LX09","LX09_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MN09","MN09_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","MX09","MX09_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00218450","1960-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601030",",,Z","","","","","","","","","10.2",",,Z,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7",",,,Z","","","","","","","",""
"USC00218450","1960-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601128",",,Z","","","","","","","","","22.9",",,Z,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0",",,,Z","","","","","","","",""
"USC00218450","1960-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601204",",,Z","","","","","","","","","17.8",",,Z,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6",",,,Z","","","","","","","",""
"USC00218450","1961-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","0",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610129",",,Z","","","","","","","","","1.3",",,Z,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6",",,,Z","","","","","","","",""
"USC00218450","1961-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610217",",,Z","","","","","","","","","4.6",",,Z,17,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9",",,,Z","","","","","","","",""
"USC00218450","1961-03","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","3",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610327",",,Z","","","","","","","","","31.0",",,Z,27,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6",",,,Z","","","","","","","",""
"USC00218450","1961-04","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","8","1,Z","5","1,Z","0","1,Z","","","","","","","","","","","","","","","","","","","","","","","","","19610414",",1,Z","","","","","","","","","12.2","1,,Z,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4","1,,,Z","","","","","","","",""
"USC00218450","1961-05","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","8","1,Z","8","1,Z","1","1,Z","","","","","","","","","","","","","","","","","","","","","","","","","19610531",",1,Z","","","","","","","","","29.2","1,,Z,31,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127.3","1,,,Z","","","","","","","",""
"USC00218450","1961-06","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","10",",Z","6",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610622",",,Z","","","","","","","","","16.8",",,Z,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4",",,,Z","","","","","","","",""
"USC00218450","1961-07","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","11",",Z","9",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610701",",,Z","","","","","","","","","23.4",",,Z,01,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0",",,,Z","","","","","","","",""
"USC00218450","1961-08","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","6",",Z","4",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610818",",,Z","","","","","","","","","15.2",",,Z,18,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5",",,,Z","","","","","","","",""
"USC00218450","1961-09","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","11",",Z","10",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610908",",,Z","","","","","","","","","12.2",",,Z,08,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.9",",,,Z","","","","","","","",""
"USC00218450","1961-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","6",",Z","4",",Z","2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611011",",,Z","","","","","","","","","35.6",",,Z,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0",",,,Z","","","","","","","",""
"USC00218450","1961-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","2",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611102",",,Z","","","","","","","","","25.4",",,Z,02,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0",",,,Z","","","","","","","",""
"USC00218450","1961-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","5",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611209",",,Z","","","","","","","","","21.8",",,Z,09,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.0",",,,Z","","","","","","","",""
"USC00218450","1962-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","0",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620131","+,,Z","","","","","","","","","1.3",",,Z,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1",",,,Z","","","","","","","",""
"USC00218450","1962-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","9",",Z","6",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620215",",,Z","","","","","","","","","12.7",",,Z,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4",",,,Z","","","","","","","",""
"USC00218450","1962-03","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","3",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620304",",,Z","","","","","","","","","21.6",",,Z,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9",",,,Z","","","","","","","",""
"USC00218450","1962-04","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","9",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620422",",,Z","","","","","","","","","10.4",",,Z,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5",",,,Z","","","","","","","",""
"USC00218450","1962-05","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","18",",Z","10",",Z","4",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620512",",,Z","","","","","","","","","43.9",",,Z,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201.3",",,,Z","","","","","","","",""
"USC00218450","1962-06","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","5",",Z","3",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620629",",,Z","","","","","","","","","39.6",",,Z,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.4",",,,Z","","","","","","","",""
"USC00218450","1962-07","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","14",",Z","7",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620719",",,Z","","","","","","","","","55.1",",,Z,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.0",",,,Z","","","","","","","",""
"USC00218450","1962-08","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","10",",Z","7",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620830",",,Z","","","","","","","","","28.7",",,Z,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.3",",,,Z","","","","","","","",""
"USC00218450","1962-09","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","9",",Z","7",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620916",",,Z","","","","","","","","","33.0",",,Z,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.7",",,,Z","","","","","","","",""
"USC00218450","1962-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19621007",",,Z","","","","","","","","","16.5",",,Z,07,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9",",,,Z","","","","","","","",""
"USC00218450","1962-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","3",",Z","3",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19621123",",,Z","","","","","","","","","10.2",",,Z,23,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4",",,,Z","","","","","","","",""
"USC00218450","1962-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","0",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19621222",",,Z","","","","","","","","","0.8",",,Z,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3",",,,Z","","","","","","","",""
"USC00218450","1963-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","0.0","Z","0.0",",Z","2",",Z","0",",Z","0",",Z","","","","","22",",Z","31",",Z","28",",Z","0",",Z","0",",Z","","","19630123",",,Z","","","","","","","19630106",",,Z","19630109",",,Z","-30.6",",Z,23,","","","","","1.3",",,Z,06,","5.6",",Z,09,","","","","","","","","","","","","","","","","","","","","","","","1025.3",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1",",,,Z","","","-14.74",",Z","-10.93",",,,Z","-18.55",",,,Z"
"USC00218450","1963-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","0.0","Z","0.0",",Z","5",",Z","1",",Z","0",",Z","","","","","12",",Z","28",",Z","22",",Z","0",",Z","0",",Z","","","19630221",",,Z","","","","","","","19630209",",,Z","19630205",",,Z","-28.9",",Z,21,","","","","","2.5",",,Z,09,","5.6",",Z,05,","","","","","","","","","","","","","","","","","","","","","","","793.2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2",",,,Z","","","-10.00",",Z","-4.58",",,,Z","-15.41",",,,Z"
"USC00218450","1963-03","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","0.0","Z","0.0",",Z","8",",Z","5",",Z","0",",Z","","","","","0",",Z","23",",Z","4",",Z","2",",Z","0",",Z","","","19630310",",,Z","","","","","","","19630319",",,Z","19630330",",,Z","-17.2",",Z,10,","","","","","19.1",",,Z,19,","23.3",",Z,30,","","","","","","","","","","","","","","","","","","","","","","","516.1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5",",,,Z","","","1.69",",Z","6.52",",,,Z","-3.15",",,,Z"
"USC00218450","1963-04","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","1.4","Z","1.4",",Z","12",",Z","5",",Z","0",",Z","","","","","0",",Z","10",",Z","0",",Z","7",",Z","0",",Z","","","19630403",",,Z","","","","","","","19630429",",,Z","19630416",",,Z","-8.3",",Z,03,","","","","","21.8",",,Z,29,","23.9",",Z,16,","","","","","","","","","","","","","","","","","","","","","","","270.9",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2",",,,Z","","","9.35",",Z","15.55",",,,Z","3.15",",,,Z"
"USC00218450","1963-05","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","14.8","Z","13.4",",Z","13",",Z","9",",Z","1",",Z","","","","","0",",Z","2",",Z","0",",Z","13",",Z","0",",Z","","","19630523","+,,Z","","","","","","","19630510",",,Z","19630507",",,Z","-0.6",",Z,23,+","","","","","45.2",",,Z,10,","31.7",",Z,07,","","","","","","","","","","","","","","","","","","","","","","","170.1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130.2",",,,Z","","","13.28",",Z","19.20",",,,Z","7.35",",,,Z"
"USC00218450","1963-06","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","120.7","Z","105.9",",Z","13",",Z","5",",Z","1",",Z","","","","","0",",Z","0",",Z","0",",Z","28",",Z","4",",Z","","","19630621","+,,Z","","","","","","","19630610",",,Z","19630630",",,Z","6.7",",Z,21,+","","","","","28.4",",,Z,10,","35.6",",Z,30,","","","","","","","","","","","","","","","","","","","","","","","24.8",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1",",,,Z","","","21.04",",Z","27.15",",,,Z","14.93",",,,Z"
"USC00218450","1963-07","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","265.5","Z","144.8",",Z","11",",Z","5",",Z","0",",Z","","","","","0",",Z","0",",Z","0",",Z","31",",Z","2",",Z","","","19630715",",,Z","","","","","","","19630728",",,Z","19630701",",,Z","10.6",",Z,15,","","","","","11.9",",,Z,28,","33.9",",Z,01,","","","2.2","Z","","","","","","","","","","","","","","","","","","","2.2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0",",,,Z","","","22.93",",Z","28.66",",,,Z","17.21",",,,Z"
"USC00218450","1963-08","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","354.0","Z","88.5",",Z","6",",Z","6",",Z","0",",Z","","","","","0",",Z","0",",Z","0",",Z","30",",Z","2",",Z","","","19630817","+,,Z","","","","","","","19630812",",,Z","19630807","+,,Z","8.9",",Z,17,+","","","","","15.2",",,Z,12,","32.8",",Z,07,+","","","15.2","Z","","","","","","","","","","","","","","","","","","","13.0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8",",,,Z","","","20.77",",Z","26.58",",,,Z","14.95",",,,Z"
"USC00218450","1963-09","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","381.5","Z","27.5",",Z","10",",Z","8",",Z","2",",Z","","","","","0",",Z","0",",Z","0",",Z","23",",Z","0",",Z","","","19630913",",,Z","","","","","","","19630902",",,Z","19630908",",,Z","2.2",",Z,13,","","","","","37.6",",,Z,02,","28.9",",Z,08,","","","67.2","Z","","","","","","","","","","","","","","","","","","","52.0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.3",",,,Z","","","17.52",",Z","23.12",",,,Z","11.91",",,,Z"
"USC00218450","1963-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","395.5","Z","14.0",",Z","3",",Z","2",",Z","0",",Z","","","","","0",",Z","1",",Z","0",",Z","17",",Z","0",",Z","","","19631029",",,Z","","","","","","","19631021",",,Z","19631005",",,Z","-2.8",",Z,29,","","","","","10.4",",,Z,21,","29.4",",Z,05,","","","164.4","Z","","","","","","","","","","","","","","","","","","","97.2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8",",,,Z","","","15.65",",Z","21.49",",,,Z","9.81",",,,Z"
"USC00218450","1963-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","395.5","Z","0.0",",Z","2",",Z","1",",Z","0",",Z","","","","","0",",Z","21",",Z","3",",Z","0",",Z","0",",Z","","","19631123",",,Z","","","","","","","19631126",",,Z","19631107",",,Z","-10.0",",Z,23,","","","","","14.2",",,Z,26,","16.7",",Z,07,","","","589.2","Z","","","","","","","","","","","","","","","","","","","424.8",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5",",,,Z","","","4.17",",Z","8.85",",,,Z","-0.50",",,,Z"
"USC00218450","1963-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","395.5","Z","0.0",",Z","5",",Z","1",",Z","0",",Z","","","","","14",",Z","31",",Z","24",",Z","0",",Z","0",",Z","","","19631220",",,Z","","","","","","","19631208",",,Z","19631207","+,,Z","-29.4",",Z,20,","","","","","7.6",",,Z,08,","5.6",",Z,07,+","","","1522.0","Z","","","","","","","","","","","","","","","","","","","932.8",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0",",,,Z","","","-11.76",",Z","-7.69",",,,Z","-15.82",",,,Z"
"USC00218450","1964-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","0.0","Z","0.0",",Z","3",",Z","1",",Z","0",",Z","","","","","6",",Z","31",",Z","16",",Z","0",",Z","0",",Z","","","19640127",",,Z","","","","","","","19640108",",,Z","19640120","+,,Z","-26.7",",Z,27,","","","","","5.1",",,Z,08,","6.1",",Z,20,+","","","2279.2","Z","","","","","","","","","","","","","","","","","","","757.2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2",",,,Z","","","-6.09",",Z","-1.30",",,,Z","-10.89",",,,Z"
"USC00218450","1964-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","0.0","Z","0.0",",Z","1",",Z","0",",Z","0",",Z","","","","","1",",Z","28",",Z","8",",Z","0",",Z","0",",Z","","","19640223",",,Z","","","","","","","19640212",",,Z","19640229",",,Z","-17.8",",Z,23,","","","","","0.5",",,Z,12,","12.2",",Z,29,","","","2919.9","Z","","","","","","","","","","","","","","","","","","","640.7",",Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5",",,,Z","","","-3.76",",Z","2.18",",,,Z","-9.70",",,,Z"
